,content,score,appVersion,content_process,result,sentiment,proba
0,"Bagus bisa membantu masyarakat , khususnya ttg produk Bank DANAMON.👍👍👍",5,1.4.1,bagus bisa membantu masyarakat   khususnya ttg produk bank danamon    ,"[{'label': 'positive', 'score': 0.9966253042221069}]",positive,0.9966253042221069
1,Sangat membantu,5,1.4.1,sangat membantu,"[{'label': 'positive', 'score': 0.9959172606468201}]",positive,0.9959172606468201
2,"Ini gimana sih? Kwkwkwk, udah daftar dan udah berhasil, disuruh login tapi salah terus, padahal udh bener email dan passwordnya, terus penasaran coba daftar lagi terus ada notif sudah terdaftar dan disuruh login, eh pas login GABISA LAGI, KOCAK!",3,1.4.1,ini gimana sih  kwkwkwk  udah daftar dan udah berhasil  disuruh login tapi salah terus  padahal udh bener email dan passwordnya  terus penasaran coba daftar lagi terus ada notif sudah terdaftar dan disuruh login  eh pas login gabisa lagi  kocak ,"[{'label': 'negative', 'score': 0.9980393052101135}]",negative,0.9980393052101135
3,Ok,5,1.4.1,ok,"[{'label': 'negative', 'score': 0.998392641544342}]",negative,0.998392641544342
4,Knpa y kemaren ada potongan lagi dari prima Bank Central Asia gede lagi ngambillnya mohon penjelasannya,1,,knpa y kemaren ada potongan lagi dari prima bank central asia gede lagi ngambillnya mohon penjelasannya,"[{'label': 'neutral', 'score': 0.9930198788642883}]",neutral,0.9930198788642883
5,👍👍👍🙏🙏,5,1.4.1,     ,"[{'label': 'positive', 'score': 0.9920133948326111}]",positive,0.9920133948326111
6,Aplikasi ini kurang bagus bagi saya transfer gagal saldo tidak kembali,1,1.4.1,aplikasi ini kurang bagus bagi saya transfer gagal saldo tidak kembali,"[{'label': 'negative', 'score': 0.9991621971130371}]",negative,0.9991621971130371
7,Nyesel pakai apk ini. User sm pasword benar tp tetap gk bisa login. Hapus aja,1,1.4.1,nyesel pakai apk ini  user sm pasword benar tp tetap gk bisa login  hapus aja,"[{'label': 'negative', 'score': 0.9903087019920349}]",negative,0.9903087019920349
8,Apakah bisa bayar tagihan indihome di aplikasi ini,5,1.4.1,apakah bisa bayar tagihan indihome di aplikasi ini,"[{'label': 'neutral', 'score': 0.9989928603172302}]",neutral,0.9989928603172302
9,mantappppp.. sukses sll...,5,1.4.1,mantappppp   sukses sll   ,"[{'label': 'positive', 'score': 0.8711854219436646}]",positive,0.8711854219436646
10,Keren pokok nya,5,1.4.0,keren pokok nya,"[{'label': 'positive', 'score': 0.9930825233459473}]",positive,0.9930825233459473
11,lemot,2,1.4.1,lemot,"[{'label': 'negative', 'score': 0.9974468946456909}]",negative,0.9974468946456909
12,"Masalah sudah terselesaikan. maaf, dan terimakasih.",5,1.4.1,masalah sudah terselesaikan  maaf  dan terimakasih ,"[{'label': 'neutral', 'score': 0.8626763820648193}]",neutral,0.8626763820648193
13,"Hallo Danamon, klau sy Telp Banking sy bisa Aktif ga ? ( Sy mau buka Pin yg ke Blokir )",2,1.4.1,hallo danamon  klau sy telp banking sy bisa aktif ga     sy mau buka pin yg ke blokir  ,"[{'label': 'neutral', 'score': 0.9985552430152893}]",neutral,0.9985552430152893
14,Gara gara cuman tanda tangan beda dikit Ganti kartu atm malah ngak jadi Udah gitu duit malah anguss,1,,gara gara cuman tanda tangan beda dikit ganti kartu atm malah ngak jadi udah gitu duit malah anguss,"[{'label': 'negative', 'score': 0.9986943602561951}]",negative,0.9986943602561951
15,Proses aktivasi tdk memiliki Batas,5,1.4.1,proses aktivasi tdk memiliki batas,"[{'label': 'neutral', 'score': 0.7690924406051636}]",neutral,0.7690924406051636
16,Mntap,5,1.4.1,mntap,"[{'label': 'negative', 'score': 0.8630099892616272}]",negative,0.8630099892616272
17,"Akun udah terdaftar tapi pas mau login eh malah kata sandi yg salah padahal kata sandi udah benar,tolong hapus data saya kalau terjadi apa² saya tidak bertanggung jawab dan yg parah lagi akun saya terkunci bacaannya",1,1.4.1,akun udah terdaftar tapi pas mau login eh malah kata sandi yg salah padahal kata sandi udah benar tolong hapus data saya kalau terjadi apa  saya tidak bertanggung jawab dan yg parah lagi akun saya terkunci bacaannya,"[{'label': 'negative', 'score': 0.9955636262893677}]",negative,0.9955636262893677
18,Test dulu bos quuu,4,1.4.1,test dulu bos quuu,"[{'label': 'neutral', 'score': 0.9923036098480225}]",neutral,0.9923036098480225
19,Memudahkan segala transaksi dan pembelian apapun melalui m-banking,5,1.4.0,memudahkan segala transaksi dan pembelian apapun melalui m banking,"[{'label': 'positive', 'score': 0.9877026677131653}]",positive,0.9877026677131653
20,Bukannya memudahkan malah bikin sulit.... kenapa tidak ikut aplikasi BCA yg mudah untuk di gunakan mulai dengan cara aktivasi juga cara penyelesaian masalah....hanya nama mobile banking tapi jika ada masalah tidak dapat di selesaikan secara mobile,1,1.4.0,bukannya memudahkan malah bikin sulit     kenapa tidak ikut aplikasi bca yg mudah untuk di gunakan mulai dengan cara aktivasi juga cara penyelesaian masalah    hanya nama mobile banking tapi jika ada masalah tidak dapat di selesaikan secara mobile,"[{'label': 'negative', 'score': 0.9676169157028198}]",negative,0.9676169157028198
21,Tolonglah ini kenapa error mulu sihh?-_-,2,1.4.1,tolonglah ini kenapa error mulu sihh    ,"[{'label': 'negative', 'score': 0.998180627822876}]",negative,0.998180627822876
22,Tidak bisa melakukan transaksi transfer... Tolong di perbaiki,2,1.4.1,tidak bisa melakukan transaksi transfer    tolong di perbaiki,"[{'label': 'neutral', 'score': 0.9987121820449829}]",neutral,0.9987121820449829
23,Terima kasih Danamon akhirnya sudah bisa diatasi sangat cepat hanya butuh satu hari saja selebihnya bagus intinya proses cepat admin pemeroses Ramah sangat jelas menerangkan dan menjelaskan kesalahan dan perbaikan 🙏the best aplikasi bank,5,1.4.1,terima kasih danamon akhirnya sudah bisa diatasi sangat cepat hanya butuh satu hari saja selebihnya bagus intinya proses cepat admin pemeroses ramah sangat jelas menerangkan dan menjelaskan kesalahan dan perbaikan  the best aplikasi bank,"[{'label': 'positive', 'score': 0.9989218711853027}]",positive,0.9989218711853027
24,Hari ini 01 Agustus 2023 apakah ada bug? Ga bisa scrol kebawah. Di aplikasi lain bisa ko.. cepet perbaiki woyy.. mau TF ini,1,1.4.1,hari ini    agustus      apakah ada bug  ga bisa scrol kebawah  di aplikasi lain bisa ko   cepet perbaiki woyy   mau tf ini,"[{'label': 'negative', 'score': 0.5044921040534973}]",negative,0.5044921040534973
25,"Telepon customer service malah nyolot, saya bilang nanti saya lapor anda atas pelayanan yang buruk, malah jadi baik lagi Udah jelek pelayanan offline nya, ditambah pelayanan online nya pun jelek juga Parah banget ini danamon Kalo bukan rekening payroll Udah males pake danamon",1,1.4.1,telepon customer service malah nyolot  saya bilang nanti saya lapor anda atas pelayanan yang buruk  malah jadi baik lagi udah jelek pelayanan offline nya  ditambah pelayanan online nya pun jelek juga parah banget ini danamon kalo bukan rekening payroll udah males pake danamon,"[{'label': 'negative', 'score': 0.9995495676994324}]",negative,0.9995495676994324
26,Lengkap bisa topup ewalet,5,1.4.1,lengkap bisa topup ewalet,"[{'label': 'positive', 'score': 0.9935717582702637}]",positive,0.9935717582702637
27,"Bank tertolol yang pernah saya buka selama saya hidup, VC susah 2 minggu baru jadi rekening online, pas udah jadi masuk ke apk sialan ini, pasword bener bilang salah terus, rek baru jadi ID terblokir, biadab kalian, suruh tlv premium call, pulsa 10 ribu habis pake milih menu doang belum berbicara sama CS, makanya gw nobatkan bang ter tolol sejagad, bank kecil banyak tingkah dan gaya, idiot nya murni semenjak bank berdiri, satu kalimat buat kalian SEGERA BANGKRUT AJA BIAR GA BANYAK NYUSAHIN",1,1.4.1,bank tertolol yang pernah saya buka selama saya hidup  vc susah   minggu baru jadi rekening online  pas udah jadi masuk ke apk sialan ini  pasword bener bilang salah terus  rek baru jadi id terblokir  biadab kalian  suruh tlv premium call  pulsa    ribu habis pake milih menu doang belum berbicara sama cs  makanya gw nobatkan bang ter tolol sejagad  bank kecil banyak tingkah dan gaya  idiot nya murni semenjak bank berdiri  satu kalimat buat kalian segera bangkrut aja biar ga banyak nyusahin,"[{'label': 'negative', 'score': 0.9993669390678406}]",negative,0.9993669390678406
28,Jelek banget setiap masuk selalu ga bisa,1,,jelek banget setiap masuk selalu ga bisa,"[{'label': 'negative', 'score': 0.9989868998527527}]",negative,0.9989868998527527
29,top markotop,5,1.4.1,top markotop,"[{'label': 'positive', 'score': 0.9933290481567383}]",positive,0.9933290481567383
30,"Ribet, keblokir harus kekantor cabang, email lengkap nomer hp ada, terlalu ribet",1,1.4.1,ribet  keblokir harus kekantor cabang  email lengkap nomer hp ada  terlalu ribet,"[{'label': 'negative', 'score': 0.985956072807312}]",negative,0.985956072807312
31,Mohon maaf terbaksa saya katakan kasih kalah jauh dari bank lain. Mikir 7x mungkin klo mau kerjasama. Karena sering update dan eror 🤦‍♂️,3,1.4.1,mohon maaf terbaksa saya katakan kasih kalah jauh dari bank lain  mikir  x mungkin klo mau kerjasama  karena sering update dan eror     ,"[{'label': 'negative', 'score': 0.9983735084533691}]",negative,0.9983735084533691
32,Susah kali pakai d bank ini..bolak balek transaksi gagal mulu😪😪 kendala teknis hampir tiap hari!!!!,2,,susah kali pakai d bank ini  bolak balek transaksi gagal mulu   kendala teknis hampir tiap hari    ,"[{'label': 'negative', 'score': 0.9980441331863403}]",negative,0.9980441331863403
33,Mempermudah saya untuk transaksi apapun ... 👌👌👌👍👍👍 terima kasih D-Bank PRO ...,5,1.4.1,mempermudah saya untuk transaksi apapun            terima kasih d bank pro    ,"[{'label': 'neutral', 'score': 0.8444969058036804}]",neutral,0.8444969058036804
34,gk dapat cashback ternyata...sia² 1bulan uang 3.5jt disimpan🙃,1,,gk dapat cashback ternyata   sia   bulan uang    jt disimpan ,"[{'label': 'negative', 'score': 0.995335042476654}]",negative,0.995335042476654
35,Keren D- bank pro,5,1.4.1,keren d  bank pro,"[{'label': 'positive', 'score': 0.9926907420158386}]",positive,0.9926907420158386
36,"Aku sudah lama menjadi nasabah Bank Danamon, suka banget aman dan mudah, pelayanan juga the best . Terima kasih ya 😊🙏",5,1.4.1,aku sudah lama menjadi nasabah bank danamon  suka banget aman dan mudah  pelayanan juga the best   terima kasih ya   ,"[{'label': 'positive', 'score': 0.9992558360099792}]",positive,0.9992558360099792
37,"Tolong update kemanan lebih diperketat. Terutama login biometrik. Jika ingin login, selain memasukkan password, harus juga menggunakan biometrik agar keamanan lebih ketat jika ada peretas yang ingin membobol akun nasabah.",4,1.4.1,tolong update kemanan lebih diperketat  terutama login biometrik  jika ingin login  selain memasukkan password  harus juga menggunakan biometrik agar keamanan lebih ketat jika ada peretas yang ingin membobol akun nasabah ,"[{'label': 'neutral', 'score': 0.9873968958854675}]",neutral,0.9873968958854675
38,Top,5,1.4.0,top,"[{'label': 'positive', 'score': 0.9786689281463623}]",positive,0.9786689281463623
39,Good... thanks,5,1.4.1,good    thanks,"[{'label': 'positive', 'score': 0.9973316192626953}]",positive,0.9973316192626953
40,Kenapa setelah update untuk aktivasi SMS gagal terus data semua masih sama,1,1.4.1,kenapa setelah update untuk aktivasi sms gagal terus data semua masih sama,"[{'label': 'negative', 'score': 0.8992499113082886}]",negative,0.8992499113082886
41,"Susah banget dapet SMS verifikasi nya,udah dicoba berkali kali tetep aja ngga dapet SMS nya",1,,susah banget dapet sms verifikasi nya udah dicoba berkali kali tetep aja ngga dapet sms nya,"[{'label': 'negative', 'score': 0.9989494681358337}]",negative,0.9989494681358337
42,"Trimakasih,,,",5,1.3.9,trimakasih   ,"[{'label': 'positive', 'score': 0.9988503456115723}]",positive,0.9988503456115723
43,"Sudah verifikasi SMS ttep ga masuk kemobile banking nya, udh 2 kali loh pdhal, syang banget pulsanya",2,1.4.1,sudah verifikasi sms ttep ga masuk kemobile banking nya  udh   kali loh pdhal  syang banget pulsanya,"[{'label': 'neutral', 'score': 0.7696471810340881}]",neutral,0.7696471810340881
44,Gk jelas! Ujung _ ujung di suruh kecabang juga di tawarin asuransi kapok pake Danamon tutup ajalah mending make mandiri/ BCA,1,,gk jelas  ujung   ujung di suruh kecabang juga di tawarin asuransi kapok pake danamon tutup ajalah mending make mandiri  bca,"[{'label': 'negative', 'score': 0.996944010257721}]",negative,0.996944010257721
45,Sip rusak......,5,1.4.1,sip rusak      ,"[{'label': 'negative', 'score': 0.9991744160652161}]",negative,0.9991744160652161
46,Lagi urgent aplikasi malah forceclose padahal baru update,1,1.4.1,lagi urgent aplikasi malah forceclose padahal baru update,"[{'label': 'negative', 'score': 0.9989007711410522}]",negative,0.9989007711410522
47,kenapa saya tidak bisa masuk ke aplikasinya,1,1.4.1,kenapa saya tidak bisa masuk ke aplikasinya,"[{'label': 'neutral', 'score': 0.9246928095817566}]",neutral,0.9246928095817566
48,Oke,5,,oke,"[{'label': 'positive', 'score': 0.7234290838241577}]",positive,0.7234290838241577
49,Gak bisa buat transfer,4,,gak bisa buat transfer,"[{'label': 'neutral', 'score': 0.7929899096488953}]",neutral,0.7929899096488953
50,"Aplikasi ini sudah ok, namun belum ada fasilitas untuk pembayaran pajak penerimaan negara",4,1.4.1,aplikasi ini sudah ok  namun belum ada fasilitas untuk pembayaran pajak penerimaan negara,"[{'label': 'neutral', 'score': 0.9974599480628967}]",neutral,0.9974599480628967
51,Error mulu nih aplikasi,1,1.4.1,error mulu nih aplikasi,"[{'label': 'negative', 'score': 0.9993957281112671}]",negative,0.9993957281112671
52,Lemot,1,1.4.1,lemot,"[{'label': 'negative', 'score': 0.9974468946456909}]",negative,0.9974468946456909
53,Kenapa D Bank Saya Maintance? Padahal Saya Sudah Update Ke Versi Terbaru,1,1.4.1,kenapa d bank saya maintance  padahal saya sudah update ke versi terbaru,"[{'label': 'neutral', 'score': 0.559742271900177}]",neutral,0.559742271900177
54,"Jelek, mau cek saldo aja undermaitenance mulu",1,1.4.1,jelek  mau cek saldo aja undermaitenance mulu,"[{'label': 'negative', 'score': 0.9994358420372009}]",negative,0.9994358420372009
55,Susah di gunakan lodingnya lama,3,1.4.1,susah di gunakan lodingnya lama,"[{'label': 'negative', 'score': 0.999271810054779}]",negative,0.999271810054779
56,Di update malah menu tfnya gk bisa,1,1.4.1,di update malah menu tfnya gk bisa,"[{'label': 'negative', 'score': 0.957984209060669}]",negative,0.957984209060669
57,"Keren bgt, Tolong dong jaringan nya di perbaiki",5,1.4.1,keren bgt  tolong dong jaringan nya di perbaiki,"[{'label': 'positive', 'score': 0.9680213928222656}]",positive,0.9680213928222656
58,Lemoot,1,1.4.1,lemoot,"[{'label': 'negative', 'score': 0.9900051951408386}]",negative,0.9900051951408386
